Supplier,Year,Week,Month,Date,Model,PGSC,Po,Input Qty,Inspection Qty,Pass Qty,Reject Qty,Reject %,Result,C-GRADE,POOR STITCHING,BROKEN THREAD,RUN OFF STITCHES,TORN MATERIAL,DAMAGE MATERIAL,WRONG PIN HOLE,LOOSE THREAD,OFF CENTER,CROOKED HEEL LOCK,EXPOSED THREAD,WRINKLE,HOLE STITCHES,POOR COLLAR LINING,OVER CEMENT,DIFFERENT COLOR,BIG SMALL EDGE,THREAD END,VISIBLE REINFORCEMENT,OFF CENTER DECO,OFF CENTER EYESTAY,OFF CENTER VERO,PEEL OFF SIZE LABEL,DIRTY,OFF CENTER COLLAR,POOR MARGIN,HAIRY,DISTANCE MISMATCH,SKIPPED STITCH,OTHERS,REMARK
TOAN LOC,2025,1,1,2025-01-02,VL COURT 3.0 K,AB2-ID9062,900226967,155,63,61,2,3.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
TOAN LOC,2025,1,1,2025-01-02,VL COURT 3.0 K,AB2-ID9062,900226966,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,1,1,2025-01-02,VL COURT 3.0 K,AB2-ID9062,900226964,30,9,9,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,1,1,2025-01-02,VL COURT 3.0 K,AB2-ID9062,900226956,1100,330,322,7,2.10%,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,1,,1,,1,
TOAN LOC,2025,1,1,2025-01-02,VL COURT 3.0 K,AB2-ID9062,900171403,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,2,1,2025-01-06,VL COURT 3.0 K,AB2-ID9062,900226967,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,2,1,2025-01-06,VL COURT 3.0 K,AB2-ID9062,900226958,624,187,180,7,3.70%,,,,,,,,,,1,,,1,,3,,,,,,,,,,,,,,,,2,
TOAN LOC,2025,2,1,2025-01-06,VL COURT 3.0 K,AB2-ID9062,900226956,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,2,1,2025-01-06,VL COURT 3.0 K,AB2-ID9062,900155215,1280,384,363,21,5.50%,,,,,,,,,,9,,,2,,7,,,,,3,,,,,,,,,,,,
TOAN LOC,2025,2,1,2025-01-08,VL COURT 3.0 K,AB2-ID9062,900156646,30,9,9,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,2,1,2025-01-08,VL COURT 3.0 K,AB2-ID9062,900155278,1290,387,367,20,5.20%,,,,,,,,,,10,,,2,,5,,,,,,,,,,,,,,,,3,
TOAN LOC,2025,2,1,2025-01-08,VL COURT 3.0 K,AB2-ID9062,900165527,975,66,64,2,3.00%,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
TOAN LOC,2025,2,1,2025-01-08,VL COURT 3.0 K,AB2-ID9062,900156646,290,87,87,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,2,1,2025-01-08,VL COURT 3.0 K,AB2-ID9062,900155278,135,40,40,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,3,1,2025-01-13,VL COURT 3.0 K,AC2-JH8723,900279193,147,43,41,2,4.70%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
TOAN LOC,2025,3,1,2025-01-13,VL COURT 3.0 K,AC2-JH8723,900257407,98,29,26,3,10.30%,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,
TOAN LOC,2025,3,1,2025-01-15,VL COURT 3.0 K,AC6-ID6314,900349433,21,6,6,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,3,1,2025-01-15,VL COURT 3.0 K,AC4-IH2406,900327305,232,68,66,2,2.90%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
TOAN LOC,2025,3,1,2025-01-15,VL COURT 3.0 K,AC4-IH2406,900256810,311,91,89,1,1.10%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TOAN LOC,2025,3,1,2025-01-15,VL COURT 3.0 K,AB2-ID9062,900226969,280,83,80,3,3.60%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,
TOAN LOC,2025,3,1,2025-01-15,VL COURT 3.0 K,AB2-ID9062,900120006,160,48,45,3,6.30%,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,
TOAN LOC,2025,3,1,2025-01-15,VL COURT 3.0 K,AB2-ID9062,900119929,300,90,87,3,3.30%,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
TOAN LOC,2025,4,1,2025-01-22,VL COURT 3.0 K,AC4-IH2406,900349040,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,4,1,2025-01-22,VL COURT 3.0 K,AB2-ID9062,900226960,905,271,266,5,1.80%,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,
TOAN LOC,2025,4,1,2025-01-23,VL COURT 3.0 K,AC8-ID6308,900354280,25,10,10,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAN LOC,2025,4,1,2025-01-23,VL COURT 3.0 K,AC8-ID6308,900347770,300,92,88,4,4.30%,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,
TOAN LOC,2025,4,1,2025-01-23,VL COURT 3.0 K,AB2-ID9062,900226960,320,100,96,4,4.00%,,,,,,,,,,1,,,,,2,,,,,,,,,,,,1,,,,,
THANH HUNG,2025,1,1,2025-01-02,TENSAUR SPORT 2.0 CF K,A-JH9538,900058256,332,100,97,3,3.00%,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
THANH HUNG,2025,1,1,2025-01-02,TENSAUR SPORT 2.0 CF K,AB-IF1727,900200629,141,42,40,2,4.80%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-02,VL COURT 3.0,AB1-ID6276,900125121,43,12,12,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-02,VL COURT 3.0,AB1-ID6276,900157147,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-02,VL COURT 3.0,AB1-ID6276,900157503,35,10,10,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-02,VL COURT 3.0,AB1-ID6276,900183628,1417,425,393,32,7.50%,,,8,,,,,,3,11,,,,,,,,,4,,,,,,,,,,,,6,"tưa team , tuột fom"
THANH HUNG,2025,1,1,2025-01-02,VL COURT 3.0,A1-JP7535,900141283,110,33,33,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-02,VL COURT 3.0,AB1-ID6278,900144421,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-02,VL COURT 3.0,AB1-ID6278,900157842,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-03,TENSAUR SPORT 2.0 CF K,A-JH9538,900058954,1384,415,403,12,2.90%,,,,2,,,,,,3,,,,4,,,,1,,,,,,,,2,,,,,,
THANH HUNG,2025,1,1,2025-01-03,VL COURT 3.0,AB1-ID6276,900157147,3,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-03,VL COURT 3.0,AB1-ID6276,900157503,17,5,5,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-03,VL COURT 3.0,AB1-ID6276,900183628,1262,378,360,18,4.80%,,,,,4,,,,2,8,,,,,,,,,,,,,,,,,,,,,4,Lằn bánh xe
THANH HUNG,2025,1,1,2025-01-03,VL COURT 3.0,AB1-ID6278,900144421,20,6,6,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-03,VL COURT 3.0,AB1-ID6278,900157842,401,120,110,10,8.30%,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,Đeco may lên eyestay
THANH HUNG,2025,1,1,2025-01-03,VL COURT 3.0,A1-JP7535,135893814,30,9,9,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-03,VL COURT 3.0,A1-JP7535,900141283,90,27,27,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,TENSAUR SPORT 2.0 CF K,A-JH9538,900058954,376,113,107,6,5.30%,,,,,,,1,,,,,,,1,,,2,,,,1,,,,1,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,TENSAUR SPORT 2.0 CF K,A-JH9538,900059212,170,51,49,2,3.90%,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,2,1,2025-01-06,TENSAUR SPORT 2.0 CF K,A-JH9538,900058954,240,240,230,10,4.20%,,,,,,,,,,3,,,1,,,,,,1,,2,,,,,3,,,,,,
THANH HUNG,2025,2,1,2025-01-06,TENSAUR SPORT 2.0 CF K,A-JH9538,900059212,230,230,216,14,6.10%,,,,1,,,1,,1,2,,,,1,,,,,4,,1,,,,3,,,,,,,
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,A1-JP7535,135893814,20,6,6,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,A1-JP7535,900141283,110,33,33,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,AB1-ID6278,900157842,32,9,9,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,AB1-ID6278,900158280,220,63,61,2,3.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Tai to
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,AB1-ID6278,900183560,20,6,6,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,AB1-ID6276,900183628,110,33,33,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,A1-JP7535,135893814,40,12,12,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,A1-JP7535,900141283,30,9,9,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,AB1-ID6276,900157001,10,3,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,AB1-ID6276,900183628,111,33,33,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,AB1-ID6278,900157842,26,7,7,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,AB1-ID6278,900158280,100,30,30,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,AB1-ID6278,900183645,172,51,48,3,5.90%,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,AB1-ID6278,900226946,794,238,224,14,5.90%,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,12,"Tai to , lòi cẩm bào , may lót cổ kh đúng tâm , tuột fom"
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,AB1-ID6278,900226953,253,75,70,5,6.70%,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,May lót cổ không đúng tâm
THANH HUNG,2025,2,1,2025-01-06,VL COURT 3.0,AB1-ID6276,900183628,110,33,31,2,6.10%,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,AB1-ID6278,900183645,172,51,50,1,2.00%,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,AB1-ID6278,900226946,90,27,27,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,1,1,2025-01-04,VL COURT 3.0,AB1-ID6278,900226946,169,50,48,2,4.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Tai to
THANH HUNG,2025,2,1,2025-01-07,TENSAUR SPORT 2.0 CF K,A-JH9538,900059212,1034,310,300,10,3.20%,,,,,,,,,,,,,1,,,,,3,,,,,,,,2,,,,,4,"May lệch tâm mũi , cộm hông , không có tâm mũi"
THANH HUNG,2025,2,1,2025-01-07,VL COURT 3.0,A1-JP7535,900141283,130,39,39,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANH HUNG,2025,2,1,2025-01-07,VL COURT 3.0,AB1-ID6278,900183560,200,60,55,5,8.30%,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,Lằn bánh xe
THANH HUNG,2025,2,1,2025-01-07,VL COURT 3.0,AB1-ID6278,900226946,787,236,226,10,4.20%,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,1,"Chân gò cao , lằn bánh xe , tai to"
